P-ID	Page Name	Route	Component	Roles	Level
P-09f	Agent Run Detail	/agents/runs/:sessionId	AgentRunDetailPage	Admin/SalesLead/Marketer	DEEP - from P-09e
P-09g	Schedules Card	(card in P-09a)	SchedulesCard	Admin/SalesLead/Marketer	DEEP - from P-09a
P-10	LLM Providers	/llm-providers	LlmProvidersPage	Admin	PRIMARY
P-10a	LLM Config Table	(top section in P-10)	LLM config DataTable	Admin	PRIMARY under section
P-10b	Embedding Config Table	(bottom section in P-10)	Embedding config DataTable	Admin	SUB
P-10c	Test / Rotate Key	(action buttons in P-10a)	testLlmConfig / rotateLlmKey	Admin	DEEP - from P-10a
P-11	System / Admin Console	/system	AdminConsolePage	Admin	PRIMARY
P-11a	Users Tab	(tab in P-11)	AdminUsersTab	Admin	PRIMARY under section
P-11a1	Create/Edit User	(dialog in P-11a)	AdminUserModal	Admin	DEEP - from P-11a
P-11a2	Reset Password	(dialog in P-11a)	resetAdminUserPassword	Admin	DEEP - from P-11a
P-11b	Roles & Permissions	(tab in P-11)	AdminRolesTab	Admin	SUB
P-11b1	Create/Edit Role	(dialog in P-11b)	AdminRoleModal	Admin	DEEP - from P-11b
P-11b2	Permission Matrix	(panel within P-11b)	Permission checkbox grid	Admin	SUB - within P-11b
P-11c	API Keys	(tab in P-11)	AdminKeysTab	Admin	SUB
P-11c1	Create Key	(dialog in P-11c)	AdminKeyModal	Admin	DEEP - from P-11c
P-11d	Integrations	(tab in P-11)	AdminIntegrationsTab	Admin	SUB
P-11d1	Branding	(form section in P-11d)	Branding form fields	Admin	SUB - within P-11d
P-11d2	Pancake Config	(form section in P-11d)	Pancake form + webhook URL	Admin	SUB - within P-11d
P-11d3	Meta Integration	(section in P-11d)	Meta OAuth flow	Admin	SUB - within P-11d
P-11d4	Social Channels	(section in P-11d)	AdminSocialChannelsSection	Admin	SUB - within P-11d
P-11e	Automated Jobs	(tab in P-11)	AdminJobsTab	Admin	SUB
P-11f	System Errors / Logs	(tab in P-11)	AdminSystemLogsTab	Admin	SUB
P-11g	Audit Log	(tab in P-11)	AdminAuditTab	Admin	SUB
P-12	Task Logs	/logs	TaskLogsPage	All	PRIMARY
P-12a	Run List	(table in P-12)	Task run InfiniteDataTable	All	PRIMARY under section
P-12b	Run Detail / Traces	(expand row in P-12a)	TaskRunTrace + TaskRunAudit	All	DEEP - from P-12a
P-13	Profile	/profile	ProfilePage	All	PRIMARY - via topbar dropdown
P-13a	Basic Info Tab	(tab in P-13)	displayName / phone / dob / avatar	All	PRIMARY under section
P-13b	Permissions Tab	(tab in P-13)	Permission list (read-only)	All	SUB
P-13c	Security / Login History	(tab in P-13)	LoginHistoryItem DataTable	All	SUB
P-13c1	Change Password	(dialog in P-13c)	ChangePasswordDialog	All	DEEP - from P-13c
P-13c2	Two-Factor Setup	(dialog in P-13c)	TwoFactorSetupDialog	All	DEEP - from P-13c
P-13d	Notification Settings	(card in P-13)	NotificationSettingsCard	All	SUB
